,Title,Citation,Conference,Publisher,Journal,Date
222,Federated autonomic management of HAN services,Unknown,12th IFIP/IEEE International Symposium on Integrated Network Management (IM 2011) and Workshops,IEEE,Unknown,2011
223,An Interactive Context Simulator for Rapid Evaluation of Smart Building Applications using Virtual Reality,Unknown,Unknown,Unknown,Unknown,2011
224,"Managing Ubiquitous Communications and Services 2011. Eighth International Workshop, MUCS 2011, Proceedings",Unknown,Unknown,Multicon Verlag,Multicon Lecture Notes,2011
225,An Interactive Context Simulator for Rapid Evaluation of Smart Building Applications using Virtual Reality,Unknown,Unknown,Unknown,Unknown,2011
226,SERVICE PROVIDERS MULTIDOMAIN IT ARCHITECTURES FOR NEXT-GENERATION COMMUNICATIONS The authors describe a general layered model for describing interdomain relationships and a …,Unknown,Unknown,Unknown,IEEE Communications Magazine,2010
227,Bringing the Semantic Sensor Web to Smart Buildings.,Unknown,Unknown,Unknown,ERCIM News,2009
228,Introduction to the Track B,Unknown,IEEE Workshop on Distributed Intelligent Systems: Collective Intelligence and Its Applications (DIS'06),IEEE,Unknown,2006
229,A Distributed Intelligent Network based on CORBA and SCTP,Unknown,Unknown,Unknown,Unknown,2005
230,Dacura: A New Solution to Data Harvesting and Knowledge Extraction for Archaeology,Unknown,Unknown,Unknown,Unknown,Unknown
231,Preface: The 26th AIAI Irish Conference on Artificial Intelligence and Cognitive Science (AICS 2018),Unknown,Unknown,Unknown,Unknown,Unknown
232,Ontology Consistency and Instance Checking,Unknown,Unknown,Unknown,Unknown,Unknown
233,Evaluation of a Semantic-Oriented Approach to Cross-Lingual Ontology Mapping,Unknown,Unknown,Unknown,Unknown,Unknown
234,IFIP/IEEE IM 2011 Committees,Unknown,Unknown,Unknown,Unknown,Unknown
235,MUCS 2011: 8th IEEE International Workshop on Managing Ubiquitous Communications and Services-committees and welcome,Unknown,Unknown,Unknown,Unknown,Unknown
236,An enhanced lesk word sense disambiguation algorithm through a distributional semantic model,144,"Proceedings of COLING 2014, the 25th International Conference on Computational Linguistics: Technical Papers",Unknown,Unknown,2014
237,Concept-based item representations for a cross-lingual content-based recommendation process,35,Unknown,Elsevier,Information Sciences,2016
238,DIACR-Ita@ EVALITA2020: overview of the EVALITA2020 DiachronicLexical semantics (DIACR-Ita) task,28,Unknown,CEUR-WS,Unknown,2020
239,Analysing word meaning over time by exploiting temporal random indexing,26,Unknown,Pisa University Press,Analysing word meaning over time by exploiting temporal Random Indexing,2014
240,Diachronic Analysis of the Italian Language exploiting Google Ngram.,25,CLiC-it/EVALITA,Unknown,Unknown,2016
241,Overview of the EVALITA 2016 named entity recognition and linking in Italian tweets (NEEL-IT) task,23,Unknown,Unknown,EVALITA. Evaluation of NLP and Speech Tools for Italian,2016
242,Exploiting distributional semantic models in question answering,20,2012 IEEE Sixth International Conference on Semantic Computing,IEEE,Unknown,2012
243,SABRE: A sentiment aspect-based retrieval engine,19,Unknown,"Springer, Cham",Unknown,2017
244,Enhancing Semantic Search using N-Levels Document Representation,19,Unknown,Unknown,SemSearch,2008
245,Temporal random indexing: A system for analysing word meaning over time,18,Unknown,Unknown,IJCOL: The Italian Journal of Computation Linguistics Vol,2015
246,Overview of the EVALITA 2016 question answering for frequently asked questions (QA4FAQ) task,16,Unknown,Unknown,EVALITA. Evaluation of NLP and Speech Tools for Italian,2016
247,Encoding syntactic dependencies by vector permutation,14,Proceedings of the GEMS 2011 Workshop on GEometrical Models of Natural Language Semantics,Unknown,Unknown,2011
248,Boosting a semantic search engine by named entities,12,International Symposium on Methodologies for Intelligent Systems,"Springer, Berlin, Heidelberg",Unknown,2009
249,UNIBA: Exploiting a Distributional Semantic Model for Disambiguating and Linking Entities in Tweets.,11,# MSM,Unknown,Unknown,2015
250,Negation for document re-ranking in ad-hoc retrieval,10,Conference on the Theory of Information Retrieval,"Springer, Berlin, Heidelberg",Unknown,2011
251,An Automatic Procedure for Generating Datasets for Conversational Recommender Systems,9,"Working Notes of CLEF 2017 - Conference and Labs of the Evaluation Forum, Dublin, Ireland, September 11-14, 2017.",Unknown,Unknown,2017
252,Learning to rank entity relatedness through embedding-based features,9,International Conference on Applications of Natural Language to Information Systems,"Springer, Cham",Unknown,2016
253,Extending an Information Retrieval System through Time Event Extraction.,9,DART@ AI* IA,Unknown,Unknown,2014
254,A Query Algebra for Quantum Information Retrieval.,9,IIR,Unknown,Unknown,2011
255,Integrating sense discrimination in a semantic information retrieval system,9,Unknown,"Springer, Berlin, Heidelberg",Unknown,2010
256,UNIBA-SENSE at CLEF 2008: SEmantic N-levels Search Engine.,9,CLEF (Working Notes),Unknown,Unknown,2008
257,Kronos-it: a Dataset for the Italian Semantic Change Detection Task.,8,CLiC-it,Unknown,Unknown,2019
258,Modeling Short-Term Preferences in Time-Aware Recommender Systems.,8,UMAP Workshops,Unknown,Unknown,2015
259,SENSE: semantic N-levels search engine at CLEF2008 ad hoc robust-WSD track,7,Workshop of the Cross-Language Evaluation Forum for European Languages,"Springer, Berlin, Heidelberg",Unknown,2008
260,Entity linking for tweets,6,Unknown,World Scientific Publishing Company,Unknown,2017
261,Semantic Vectors: an Information Retrieval Scenario,6,IIR,Unknown,Unknown,2010
262,A Factored Relevance Model for Contextual Point-of-Interest Recommendation,5,Unknown,Unknown,Unknown,2019
263,Entity Attribute Ranking Using Learning to Rank,5,Workshop on Knowledge Graphs and Semantics for Text Retrieval and Analysis (KG4IR 2017) co-located with the 40th International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR 2017),Unknown,Unknown,2017
264,Temporal Random Indexing: a Tool for Analysing Word Meaning Variations in News.,5,NewsIR@ ECIR,Unknown,Unknown,2016
265,Entity linking for italian tweets,5,Unknown,Unknown,Proceedings of the Second Italian Conference on Computational Linguistics CLiC-it,2015
266,UNIBA: combining distributional semantic models and sense distribution for multilingual all-words sense disambiguation and entity linking,5,Proceedings of the 9th International Workshop on Semantic Evaluation (SemEval 2015),Unknown,Unknown,2015
267,A study on compositional semantics of words in distributional spaces,5,2012 IEEE Sixth International Conference on Semantic Computing,IEEE,Unknown,2012
268,UNIBA-SENSE@ CLEF 2009: Robust WSD Task,5,Workshop of the Cross-Language Evaluation Forum for European Languages,"Springer, Berlin, Heidelberg",Unknown,2009
269,A diachronic Italian corpus based on “L’Unita”,4,Unknown,CEUR-WS,Unknown,2020
270,Exploiting disambiguation and discrimination in information retrieval systems,4,2009 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology,IEEE,Unknown,2009
271,Improving ranked keyword search with SENSE: SEmantic N-levels Search Engine,4,Unknown,Systemics and Informatics World Network,Communications of SIWN,2008
272,A Probabilistic Approach to Personalize Type-Based Facet Ranking for POI Suggestion,3,"Web Engineering - 21st International Conference, ICWE 2021, Biarritz, France, May 18-21, 2021, Proceedings",Unknown,Unknown,2021
273,CoRE: a cold-start resistant and extensible recommender system,3,Unknown,Unknown,Unknown,2019
274,Modeling concepts and their relationships for corpus-based query auto-completion,3,Unknown,De Gruyter Open,Open Computer Science,2019
275,UNIBA: Distributional semantics for textual similarity,3,"* SEM 2012: The First Joint Conference on Lexical and Computational Semantics–Volume 1: Proceedings of the main conference and the shared task, and Volume 2: Proceedings of the Sixth International Workshop on Semantic Evaluation (SemEval 2012)",Unknown,Unknown,2012
276,From fusion to re-ranking: a semantic approach,3,Unknown,Unknown,Unknown,2010
277,Personalizing type-based facet ranking using BERT embeddings,2,Unknown,IOS Press,Unknown,2021
278,GM-CTSC at SemEval-2020 Task 1: Gaussian Mixtures Cross Temporal Similarity Clustering,2,"Proceedings of the Fourteenth Workshop on Semantic Evaluation, SemEval@COLING 2020, Barcelona (online), December 12-13, 2020",Unknown,Unknown,2020
279,Diachronic Analysis of Entities by Exploiting Wikipedia Page revisions,2,International Conference on Recent Advances in Natural Language Processing,Unknown,Unknown,2019
280,Temporal Entity Random Indexing,2,"Digital Humanities 2018, DH 2018, Book of Abstracts, El Colegio de Mexico, UNAM, and RedHD, Mexico City, Mexico, June 26-29, 2018",Unknown,Unknown,2018
281,SEPIR: a semantic and personalised information retrieval tool for the public administration based on distributional semantics,2,Unknown,Inderscience Publishers (IEL),International Journal of Electronic Governance,2017
282,Time Event Extraction to Boost an Information Retrieval System,2,Unknown,"Springer, Cham",Unknown,2017
283,LifeSeeker 3.0: An Interactive Lifelog Search Engine for LSC'21,1,Unknown,Unknown,Unknown,2021
284,Kernel Density Estimation based Factored Relevance Model for Multi-Contextual Point-of-Interest Recommendation,1,Unknown,Unknown,arXiv preprint arXiv:2006.15679,2020
285,TRI: a tool for the diachronic analysis of large corpora and social media,1,Settimo Convegno Annuale AIUCD 2018,http://www.aiucd2018.uniba.it/content/AIUCD2018-BoA.pdf,Unknown,2018
286,Entity Linking for the Semantic Annotation of Italian Tweets,1,Unknown,Accademia University Press,Italian Journal of Computational Linguistics,2016
287,Temporal Random Indexing: A System for Analysing Word Meaning over Time,1,Unknown,Accademia University Press,IJCoL. Italian Journal of Computational Linguistics,2015
288,Encoding Syntactic Dependencies using Random Indexing and Wikipedia as a Corpus.,1,IIR,Unknown,Unknown,2012
289,Integrating Named Entities in a Semantic Search Engine.,1,IIR,Unknown,Unknown,2010
290,Improving Retrieval Experience Exploiting Semantic Representation of Documents.,1,SWAP,Unknown,Unknown,2008
291,FAIR Ontologies for Transparent and Accountable AI: A Hospital Adverse Incidents Vocabulary Case Study,Unknown,2021 Third International Conference on Transdisciplinary AI (TransAI),IEEE,Unknown,2021
292,Dataset Creation Framework for Personalized Type-Based Facet Ranking Tasks Evaluation,Unknown,International Conference of the Cross-Language Evaluation Forum for European Languages,"Springer, Cham",Unknown,2021
293,The Corpora They Are a-Changing: a Case Study in Italian Newspapers,Unknown,Proceedings of the 2nd International Workshop on Computational Approaches to Historical Language Change 2021,Unknown,Unknown,2021
294,A VR Interface for Browsing Visual Spaces at VBS2021,Unknown,International Conference on Multimedia Modeling,"Springer, Cham",Unknown,2021
295,Temporal word embeddings for dynamic user profiling in Twitter,Unknown,Unknown,CEUR-WS,Unknown,2019
296,Linking historical sources to established knowledge bases in order to inform entity linkers in cultural heritage.,Unknown,COMHUM,Unknown,Unknown,2018
297,Triple Scoring Using Paragraph Vector - The Gailan Triple Scorer at WSDM Cup 2017,Unknown,Unknown,Unknown,arXiv preprint arXiv:1712.08360,2017
298,"Proceedings of the Second Italian Conference on Computational Linguistics CLiC-it 2015: 3-4 December 2015, Trento",Unknown,Unknown,Accademia University Press,Unknown,2015
299,UNIBA: Combining Distributional Semantic Models and Word Sense Disambiguation for Textual Similarity,Unknown,Unknown,Unknown,Unknown,2014
300,Combining distributional semantic models and sense distribution for effective Italian word sense disambiguation,Unknown,Unknown,Pisa University Press,Combining distributional semantic models and sense distribution for effective Italian word sense disambiguation,2014
301,Supervised Learning and Distributional Semantic Models for Super-Sense Tagging,Unknown,Congress of the Italian Association for Artificial Intelligence,"Springer, Cham",Unknown,2013
302,UNIBA-CORE: Combining Strategies for Semantic Textual Similarity,Unknown,"Second Joint Conference on Lexical and Computational Semantics (* SEM), Volume 1: Proceedings of the Main Conference and the Shared Task: Semantic Textual Similarity",Unknown,Unknown,2013
303,Distributional Semantics for Answer Re-ranking in Question Answering.,Unknown,IIR,Unknown,Unknown,2013
304,Orthogonal Negation for Document Re-ranking.,Unknown,IIR,Unknown,Unknown,2012
305,From Terms to Concepts: A Revisited Approach to Local Context Analysis.,Unknown,IIR,Unknown,Unknown,2011
306,Semantic Re-ranking in Ad-hoc Robust Retrieval.,Unknown,IIR,Unknown,Unknown,2011
307,DIACR-Ita at EVALITA 2020: Task Guidelines,Unknown,Unknown,Unknown,Unknown,Unknown
308,A woa-based optimization approach for task scheduling in cloud computing systems,41,Unknown,IEEE,IEEE Systems Journal,2020
309,Robust and skew-resistant parallel joins in shared-nothing systems,39,Unknown,Unknown,Unknown,2014
310,A Low-Cost Multi-Failure Resilient Replication Scheme for High-Data Availability in Cloud Storage,37,Unknown,IEEE,IEEE/ACM Transactions on Networking,2021
311,Design and evaluation of small–large outer joins in cloud computing environments,27,Unknown,Academic Press,Journal of Parallel and Distributed Computing,2017
312,Robust and efficient large-large table outer joins on distributed infrastructures.,26,European Conference on Parallel Processing,Springer,Unknown,2014
313,FlowCon: Elastic Flow Configuration for Containerized Deep Learning Applications,25,Proceedings of the 48th International Conference on Parallel Processing,Unknown,Unknown,2019
314,Scale-Out Processing of Large RDF Datasets,25,Unknown,IEEE,IEEE Transactions on Big Data,2015
315,Efficient data redistribution to speedup big data analytics in large systems,24,2016 IEEE 23rd International Conference on High Performance Computing (HiPC),IEEE,Unknown,2016
316,Efficiently handling skew in outer joins on distributed systems.,24,"14th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",IEEE,Unknown,2014
317,Target-based Resource Allocation for Deep Learning Applications in a Multi-tenancy System,19,Proceedings of the 23rd IEEE High Performance Extreme Computing Conference,Unknown,Unknown,2019
318,Business Process Comparison: A Methodology and Case Study,18,Unknown,Springer,Business Information Systems,2017
319,Scalable Discovery of Hybrid Process Models in a Cloud Computing Environment,17,Unknown,IEEE,IEEE Transactions on Services Computing,2020
320,Efficient Parallel Dictionary Encoding for RDF Data.,17,Proc. 17th International Workshop on the Web and Databases (WebDB),Unknown,Unknown,2014
321,Resource management schemes for cloud-native platforms with computing containers of docker and kubernetes,16,Unknown,Unknown,arXiv preprint arXiv:2010.10350,2020
322,Efficient Skew Handling for Outer Joins in a Cloud Computing Environment,16,Unknown,IEEE,IEEE Transactions on Cloud Computing,2018
323,Efficient event correlation over distributed systems,16,"2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",IEEE,Unknown,2017
324,QbDJ: A novel framework for handling skew in parallel join processing on distributed memory,15,2013 IEEE 10th International Conference on High Performance Computing and Communications & 2013 IEEE International Conference on Embedded and Ubiquitous Computing,IEEE,Unknown,2013
325,A coflow-based co-optimization framework for high-performance data analytics,14,2017 46th International Conference on Parallel Processing (ICPP),IEEE,Unknown,2017
326,Deep reinforcement learning for communication flow control in wireless mesh networks,12,Unknown,IEEE,IEEE Network,2021
327,Privacy-preserving behavioral correctness verification of cross-organizational workflow with task synchronization patterns,11,Unknown,IEEE,IEEE Transactions on Automation Science and Engineering,2021
328,Speculative container scheduling for deep learning applications in a kubernetes cluster,10,Unknown,Unknown,arXiv preprint arXiv:2010.11307,2020
329,Deep Reinforcement Learning for IoT Network Dynamic Clustering in Edge Computing,10,"Proceedings of the 19th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",Unknown,Unknown,2019
330,Improving the robustness and performance of parallel joins over distributed systems,10,Unknown,Academic Press,Journal of Parallel and Distributed Computing,2017
331,Fast Compression of Large Semantic Web Data using X10,10,Unknown,IEEE,IEEE Transactions on Parallel and Distributed Systems,2016
332,Sampling business process event logs using graph‐based ranking model,9,Unknown,Unknown,Concurrency and Computation: Practice and Experience,2021
333,Resilient neural network training for accelerators with computing errors,7,"2019 IEEE 30th International Conference on Application-specific Systems, Architectures and Processors (ASAP)",IEEE,Unknown,2019
334,Efficient large outer joins over mapreduce,6,European Conference on Parallel Processing,"Springer, Cham",Unknown,2016
335,Design and evaluation of parallel hashing over large-scale data,6,2014 21st International Conference on High Performance Computing (HiPC),IEEE,Unknown,2014
336,Massively parallel reasoning under the well-founded semantics using X10,6,2014 IEEE 26th International Conference on Tools with Artificial Intelligence,IEEE,Unknown,2014
337,Measuring Similarity for Data-Aware Business Processes,5,Unknown,IEEE,IEEE Transactions on Automation Science and Engineering,2021
338,Cluster-based flow control in hybrid software-defined wireless sensor networks,5,Unknown,Elsevier,Computer Networks,2021
339,Rethinking Defeasible Reasoning: A Scalable Approach,5,Unknown,Cambridge University Press,Theory and Practice of Logic Programming,2020
340,Load-balancing distributed outer joins through operator decomposition,5,Unknown,Elsevier,Journal of Parallel and Distributed Computing,2019
341,Cluflow: Cluster-based flow management in software-defined wireless sensor networks,4,2019 IEEE Wireless Communications and Networking Conference (WCNC),IEEE,Unknown,2019
342,High throughput indexing for large-scale semantic web data,4,Unknown,Unknown,Unknown,2015
343,Scalable RDF data compression using X10,4,Unknown,Unknown,arXiv preprint arXiv:1403.2404,2014
344,Runtime characterisation of triple stores: An initial investigation,4,IET Irish Signals and Systems Conference (ISSC 2012),IET,Unknown,2012
345,Network-Aware Locality Scheduling for Distributed Data Operators in Data Centers,3,Unknown,IEEE Computer Society,IEEE Transactions on Parallel and Distributed Systems,2021
346,Minimizing network traffic for distributed joins using lightweight locality-aware scheduling,3,European Conference on Parallel Processing,"Springer, Cham",Unknown,2018
347,Runtime characterization of triple stores,3,2012 IEEE 15th International Conference on Computational Science and Engineering,IEEE,Unknown,2012
348,A QoS-QoR aware CNN accelerator design approach,2,Unknown,IEEE,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2018
349,A two-tier index architecture for fast processing large RDF data over distributed memory,2,Unknown,Unknown,Unknown,2014
350,A Fully Parallel Framework for Analyzing RDF Data,2,International Semantic Web Conference,Unknown,Unknown,2014
351,SwiftS: a dependency-aware and resource efficient scheduling for high throughput in clouds,1,IEEE INFOCOM 2021-IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),IEEE,Unknown,2021
352,MPC-CSAS: Multi-Party Computation for Real-Time Privacy-Preserving Speed Advisory Systems,1,Unknown,IEEE,IEEE Transactions on Intelligent Transportation Systems,2021
353,Differentiate Quality of Experience Scheduling for Deep Learning Applications with Docker Containers in the Cloud,1,Unknown,Unknown,arXiv preprint arXiv:2010.12728,2020
354,Learning Process Models in IoT Edge,1,Proceedings of the 2019 IEEE World Congress on Services,Unknown,Unknown,2019
355,Investigating distributed approaches to efficiently extract textual evidences for biomedical ontologies,1,2014 IEEE International Conference on Bioinformatics and Bioengineering,IEEE,Unknown,2014
356,Cost-aware job scheduling for cloud instances using deep reinforcement learning,Unknown,Unknown,Springer US,Cluster Computing,2021
357,Deep Reinforcement Learning for Load-Balancing Aware Network Control in IoT Edge Systems,Unknown,Unknown,IEEE,IEEE Transactions on Parallel and Distributed Systems,2021
358,An improved Wolf pack algorithm for optimization problems: Design and evaluation,Unknown,Unknown,Public Library of Science,Plos one,2021
359,TEBC-Net: An Effective Relation Extraction Approach for Simple Question Answering over Knowledge Graphs,Unknown,"International Conference on Knowledge Science, Engineering and Management","Springer, Cham",Unknown,2021
360,R2F: A Remote Retraining Framework for AIoT Processors With Computing Errors,Unknown,Unknown,IEEE,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,2021
361,CAP: Communication-aware Automated Parallelization for Deep Learning Inference on CMP Architectures,Unknown,Unknown,IEEE,IEEE Transactions on Computers,2021
362,CDetector: Extracting Textual Features of Financial Social Media to Detect Cyber Attacks,Unknown,2021 International Conference on Computer Communications and Networks (ICCCN),IEEE,Unknown,2021
363,A Fast Precision Tuning Solution for Always-On DNN Accelerators,Unknown,Unknown,IEEE,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2021
364,An Edge 3D CNN Accelerator for Low Power Activity Recognition,Unknown,Unknown,IEEE,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2021
365,DeepDive: Examining Determinants of Health Disparities in COVID-19 for Improving Pandemic Health Care,Unknown,Unknown,Unknown,Unknown,2020
366,SpeCon: Speculative Container Scheduling for Deep Learning Applications in a Kubernetes Cluster,Unknown,Unknown,Preprints,Unknown,2020
367,Nonnegative Residual Matrix Factorization for Community Detection,Unknown,International Conference on Web Information Systems Engineering,"Springer, Cham",Unknown,2020
368,基于 Petri 网的分层业务过程挖掘方法,Unknown,Unknown,Unknown,计算机集成制造系统,2020
369,Network-aware Optimization for Query Executions in Large Systems,Unknown,Unknown,Unknown,Unknown,2017
370,A scalable analysis framework for large-scale RDF data,Unknown,Unknown,Unknown,Unknown,2014
371,The situational factors that affect the software development process: Towards a comprehensive reference framework,383,Unknown,Elsevier,Information and Software Technology,2012
372,An examination of personality traits and how they impact on software development teams,74,Unknown,Elsevier,Information and Software Technology,2017
373,Continuous software engineering—A microservices architecture perspective,71,Unknown,Unknown,Journal of Software: Evolution and Process,2017
374,Software Engineering Education and Games: A Systematic Literature Review,70,Unknown,Technische Universitaet Graz* Institut fuer Informationssysteme und Computer Medien,Journal of Universal Computer Science,2016
375,Software Engineering Education and Games: A Systematic Literature Review,70,Unknown,Graz Univ Technolgoy,Unknown,2016
376,The influence of SPI on business success in software SMEs: An empirical study,67,Unknown,Elsevier,Journal of Systems and Software,2012
377,A Complexity Theory viewpoint on the Software Development Process and Situational Context,65,"International Conference on Software and Systems Process (ICSSP) 2016, Co-Located with the International Conference on Software Engineering (ICSE) 2016",ACM,Unknown,2016
378,Exploring the Relationship between Software Process Adaptive Capability and Organisational Performance.,54,Unknown,IEEE,IEEE Transactions on Software Engineering,2015
379,An empirical examination of the extent of software process improvement in software SMEs,51,Unknown,Unknown,Journal of Software: Evolution and Process,2013
380,Harmonizing Software Development Processes with Software Development Settings – A Systematic Approach,41,"20th European Conference on Systems, Software and Services Process Improvement (EuroSPI 2013)",Springer-Verlag,Unknown,2013
381,Teaching ISO/IEC 12207 software lifecycle processes: A serious game approach,36,Unknown,North-Holland,Computer Standards & Interfaces,2017
382,A systematic examination of knowledge loss in open source software projects,33,Unknown,Pergamon,Unknown,2019
383,Exploring the impact of situational context: A case study of a software development process for a microservices architecture,33,International Conference on Software and Systems Process (ICSSP) 2016 (Co-Located with the International Conference on Software Engineering (ICSE) 2016),ACM,Unknown,2016
384,A systematic approach to the comparison of roles in the software development processes,32,12th International Conference on Software Process Improvement and Capability dEtermination (SPICE 2012),Springer Berlin Heidelberg,Unknown,2012
385,Harnessing ISO/IEC 12207 to Examine the Extent of SPI Activity in an Organisation,32,"19th European Conference on Systems, Software and Services Process Improvement (EuroSPI 2012)",Springer Berlin Heidelberg,Unknown,2010
386,An Investigation of Software Development Process Terminology,30,16th International Conference on Software Process Improvement and Capability dEtermination (SPICE 2016). CCIS 609.,Springer Verlag,Unknown,2016
387,Overcoming Public Speaking Anxiety of Software Engineers Using Virtual Reality Exposure Therapy,28,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2017
388,A Gamification Approach to Improve the Software Development Process by Exploring the Personality of Software Practitioners. CCIS 609,27,16th International Conference on Software Process Improvement and Capability dEtermination (SPICE 2016),Springer Verlag,Unknown,2016
389,Untangling the Complexity of Connected Health Evaluations,26,IEEE International Conference on Healthcare Informatics,IEEE,Unknown,2015
390,Harnessing software development contexts to inform software process selection decisions,26,Unknown,American Society for Quality,Software Quality Professional,2013
391,A 3D Virtual Environment for Training Soccer Referees,23,Unknown,North-Holland,Computer Standards & Interfaces,2018
392,Changing situational contexts present a constant challenge to software developers,23,"22nd European and Asian Conference on Systems, Software and Services Process Improvement (EuroSPI 2015)","Springer-Verlag, Communications in Computer and Information Science series",Unknown,2015
393,An approach to evaluating software process adaptation,23,11th International Conference on Software Process Improvement and Capability dEtermination (SPICE 2011),Springer Berlin Heidelberg,Unknown,2011
394,Effective Social Productivity Measurements During Software Development: An Empirical Study,22,Unknown,World Scientific,International Journal of Software Engineering and Knowledge Engineering,2016
395,Software development roles: a multi-project empirical investigation,21,Unknown,ACM,ACM SIGSOFT Software Engineering Notes,2015
396,"Development and benefits of MDevSPICE®, the medical device software process assessment framework",20,Unknown,Unknown,Journal of Software: Evolution and Process,2016
397,The meaning of success for software SMEs: an holistic scorecard based approach,20,18th European Conference on System and Software Process Improvement and Innovation (EuroSPI 2011),Springer Berlin Heidelberg,Unknown,2011
398,In search of the origins and enduring impact of Agile software development,19,Proceedings of the 2018 International Conference on Software and System Process,ACM,Unknown,2018
399,In Search of the Origins and Enduring Impact of Agile Software Development,19,Unknown,Assoc Computing Machinery,Unknown,2018
400,A hierarchy of SPI activities for software SMEs: results from ISO/IEC 12207-based SPI assessments,16,12th International Conference on Software Process Improvement and Capability dEtermination (SPICE 2012),Springer Berlin Heidelberg,Unknown,2012
401,A Systematic Investigation into the Use of Game Elements in the Context of Software Business Landscapes: A Systematic Literature Review,15,International Conference on Software Process Improvement and Capability Determination,"Springer, Cham",Unknown,2017
402,Do We Speak the Same Language? Terminology Strategies for (Software) Engineering Environments Based on the Elcat Model-Innovative Terminology e-Learning for the Automotive Industry,14,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2017
403,Refactoring Software Development Process Terminology Through the Use of Ontology,14,European Conference on Software Process Improvement,Springer International Publishing,Unknown,2016
404,Refactoring Software Development Process Terminology through the use of Ontology,14,"23rd European and Asian Conference on Systems, Software and Services Process Improvement (EuroSPI 2016)",Springer,Unknown,2016
405,Business success in software SMEs: Recommendations for future SPI studies,14,"19th European Conference on Systems, Software and Services Process Improvement (EuroSPI 2012)",Springer Berlin Heidelberg,Unknown,2012
406,Exploring Knowledge Loss in Open Source Software (OSS) Projects,13,International Conference on Software Process Improvement and Capability Determination,"Springer, Cham",Unknown,2017
407,The Impact of Situational Context on the Software Development Process–A Case Study of a Highly Innovative Start-up Organization,13,International Conference on Software Process Improvement and Capability Determination,"Springer, Cham",Unknown,2017
408,Software Process Reflexivity and Business Performance: Initial results from an empirical study,13,International Conference on Software and Systems Process 2015 (ICSSP 2015),ACM SIG Proceedings (In Press),Unknown,2015
409,Interactive three-dimensional virtual environment to reduce the public speaking anxiety levels of novice software engineers,12,Unknown,INST ENGINEERING TECHNOLOGY-IET,Unknown,2019
410,The Impact of Situational Context on Software Process: A Case Study of a Very Small-Sized Company in the Online Advertising Domain,12,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2018
411,Exploring Software Process Variation Arising from Differences in Situational Context,12,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2017
412,Development of a Process Assessment Model for Medical Device Software Development,12,"21st European Conference on Systems, Software and Services Process Improvement (EuroSPI 2014)",Unknown,Unknown,2014
413,Situational Factors in Safety Critical Software Development,10,European Conference on Software Process Improvement,Springer International Publishing,Unknown,2016
414,Situational Factors in Safety Critical Software Development,10,"23rd European and Asian Conference on Systems, Software and Services Process Improvement (EuroSPI 2016)",Springer,Unknown,2016
415,Applying Blockchain to Improve the Integrity of the Software Development Process,9,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2019
416,Technology-Enabled Continuous Software Development,9,International Conference on Software Engineering (ICSE) Workshop on Continuous Software Evolution and Delivery (CSED) 2016,ACM IEEE,Unknown,2016
417,Development of MDevSPICE - the Medical Device Software Process Assessment Framework,9,Unknown,Wiley,Journal of Software: Evolution and Process,2015
418,Medical device software as a subsystem of an overall medical device: The MDevSPICE experience,9,International Conference on Fundamentals and Advances in Software Systems Integration,In Press,Unknown,2015
419,Applying Blockchain to Improve the Integrity of the Software Development Process,9,Unknown,Springer Nature,"Systems, Software and Services Process Improvement: 26th European Conference, EuroSPI 2019, Edinburgh, UK, September 18–20, 2019, Proceedings",Unknown
420,Examining Reward Mechanisms for Effective Usage of Application Lifecycle Management Tools,8,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2017
421,Piloting MDevSPICE - the Medical Device Software Process Assessment Framework,8,International Conference on Software and Systems Process 2015 (ICSSP 2015),ACM SIG Proceedings (In Press),Unknown,2015
422,An Exploration of Individual Personality Types in Software Development,8,"21st European Conference on Systems, Software and Services Process Improvement (EuroSPI 2014)",Springer Berlin Heidelberg,Unknown,2014
423,Examining Unequal Gender Distribution in Software Engineering,7,European Conference on Software Process Improvement,"Springer, Cham",Unknown,2019
424,Software Developer’s Journey,7,European Conference on Software Process Improvement,Springer International Publishing,Unknown,2016
425,Software developer's journey a story-driven approach to support software practitioner,7,Unknown,Springer,Unknown,2016
426,A Lightweight Assessment Method for Medical Device Software Processes,6,14th International Conference on Software Process Improvement and Capability dEtermination (SPICE 2014),Springer International Publishing,Unknown,2014
